,asset,ret,bin
2023-07-27,PETR4_SA,0.17870115718812785,1.0
2023-07-28,PETR4_SA,0.18148793839314914,1.0
2023-07-31,PETR4_SA,0.11653631544901621,1.0
2023-08-01,PETR4_SA,0.17110636172612237,1.0
2023-08-02,PETR4_SA,0.1737912857338637,1.0
2023-08-03,PETR4_SA,0.16301531910302947,1.0
2023-08-04,PETR4_SA,0.17203610604415553,1.0
2023-08-07,PETR4_SA,0.17360004803227835,1.0
2023-08-09,PETR4_SA,0.16319730650510644,1.0
2023-08-10,PETR4_SA,0.15945270109180343,1.0
2023-08-11,PETR4_SA,0.1593908871847387,1.0
2023-08-14,PETR4_SA,0.15636403499238782,1.0
2023-08-15,PETR4_SA,0.1508112906055803,1.0
2023-08-16,PETR4_SA,0.1589140618444489,1.0
2023-08-17,PETR4_SA,0.15401549343535814,1.0
2023-08-18,PETR4_SA,0.15108647193869174,1.0
2023-08-21,PETR4_SA,0.14491545901317227,1.0
2023-08-22,PETR4_SA,0.1502775976352828,1.0
2023-08-23,PETR4_SA,0.1684241553222814,1.0
2023-08-25,PETR4_SA,0.17829211251233001,1.0
2023-08-28,PETR4_SA,0.16517149735635295,1.0
2023-08-29,PETR4_SA,0.1626542009700167,1.0
2023-08-30,PETR4_SA,0.1548128485367124,1.0
2023-08-31,PETR4_SA,0.17939866766475965,1.0
2023-09-01,PETR4_SA,0.15445876083990906,1.0
2023-09-04,PETR4_SA,0.16661479503362586,1.0
2023-09-05,PETR4_SA,0.15433015002351258,1.0
2023-09-06,PETR4_SA,0.05936733808274264,1.0
2023-09-08,PETR4_SA,0.15329338827066907,1.0
2023-09-12,PETR4_SA,0.1488219997637512,1.0
2023-09-13,PETR4_SA,0.16621251887356503,1.0
2023-09-14,PETR4_SA,0.05373471624009585,1.0
2023-09-18,PETR4_SA,0.041605687063737795,1.0
2023-09-19,PETR4_SA,0.07307803098129617,1.0
2023-09-20,PETR4_SA,0.07144938348890362,1.0
2023-09-21,PETR4_SA,0.14099530060279197,1.0
2023-09-22,PETR4_SA,0.07369866379836387,1.0
2023-09-25,PETR4_SA,0.06710524022680664,1.0
2023-09-26,PETR4_SA,0.15122553771960634,1.0
2023-09-27,PETR4_SA,0.05574816607030497,1.0
2023-09-28,PETR4_SA,0.07388111416195153,1.0
2023-09-29,PETR4_SA,0.056891034673786756,1.0
2023-10-02,PETR4_SA,0.1289567257460651,1.0
2023-10-03,PETR4_SA,0.13394179753639257,1.0
2023-10-04,PETR4_SA,0.1548128485367124,1.0
2023-10-05,PETR4_SA,0.15093175170479478,1.0
2023-10-06,PETR4_SA,0.14950752248346566,1.0
2023-10-09,PETR4_SA,-0.0063015145422054,-1.0
2023-10-10,PETR4_SA,0.01794133085077454,1.0
2023-10-11,PETR4_SA,0.016703002691786262,1.0
2023-10-13,PETR4_SA,-0.023824964029413143,-1.0
2023-10-16,PETR4_SA,-0.02058801432394841,-1.0
2023-10-17,PETR4_SA,-0.02563748672114774,-1.0
2023-10-18,PETR4_SA,-0.04498016761762769,-1.0
2023-10-19,PETR4_SA,-0.02857051400036814,-1.0
2023-10-20,PETR4_SA,-0.004737572429832526,-1.0
2023-10-23,PETR4_SA,0.0694704091385272,1.0
2023-10-24,PETR4_SA,0.053962201520630027,1.0
2023-10-25,PETR4_SA,0.058493960461232675,1.0
2023-10-26,PETR4_SA,0.08663909725678365,1.0
2023-10-27,PETR4_SA,0.09549060825076805,1.0
